Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
FX-03: BOOTSTRAP DE PROYECTO DJANGO,TAREA-32,10063,Task,Done,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,Done,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,30/Aug/26 9:39 AM,11/Sep/26 1:40 PM,04/Sep/26 5:05 PM,04/Sep/26 5:03 PM,,0,"Crear el primer proyecto y aplicacion en Django

Criterios de aceptacion:

# Django inicia en un contenedor.
# La pagina inicial retorna una respuesta basica
# Carpetas static y template existen",,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,,0|i0005v:4,SCRUM Sprint 1,,,,5.0,,,,10057,TAREA-26,EPIC-02: ESQUELETO DE APLICACION,Done,04/Sep/26 5:03 PM
FX-02: ESQUELETO DOCKER COMPOSE,TAREA-31,10062,Task,Done,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,Done,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,30/Aug/26 9:38 AM,11/Sep/26 1:40 PM,04/Sep/26 5:05 PM,30/Aug/26 12:21 PM,,0,"Crear una estructura de carpetas y un compose inicial.

Criterios de aceptacion:

# Existe ‘docker-compose.yml’
# Existen carpetas para Django, Nginx y Keycloak config.
# ‘docker comppose up’ inicia un servicio de prueba sin errores.",,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,;30/Aug/26 12:20 PM;2fb8308b-7ebc-4083-8940-f7eb1fd5f572;7200,,0,7200,,,0,7200,,,,0|i0005v:,SCRUM Sprint 1,,,,3.0,,,,10059,TAREA-28,EPIC-04: INFRAESTRUCTURA Y DEPLOY,Done,30/Aug/26 12:21 PM
"FX-01: CREAR REPOSITORIO, BRANCHES Y PROTECCIONES",TAREA-30,10061,Task,Done,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,Done,Enrique Allo Collante,712020:e09b7d5e-6db0-4fa8-9001-8e9ae95237d8,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,30/Aug/26 9:36 AM,11/Sep/26 1:39 PM,04/Sep/26 5:05 PM,04/Sep/26 5:03 PM,,0,"Establecer un repostorio y reglas de GitFlow

Criterios de aceptacion:

# Existe repostorio en github
# Existen branches main y development
# Se han habilitado protecciones de branches
# No está permitido pushear directo a main o development
# Se requieren PRs para merges",,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,,0|i0005t:,SCRUM Sprint 1,,,,1.0,,,,10060,TAREA-29,EPIC-05: FRONTEND ,Done,04/Sep/26 5:03 PM
EPIC-05: FRONTEND ,TAREA-29,10060,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,30/Aug/26 9:31 AM,11/Sep/26 1:55 PM,,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,dark_purple,0|i0005r:,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,To Do,30/Aug/26 9:31 AM
EPIC-04: INFRAESTRUCTURA Y DEPLOY,TAREA-28,10059,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,30/Aug/26 9:31 AM,11/Sep/26 1:55 PM,,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,0,7200,,,dark_purple,0|i0005j:,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,To Do,30/Aug/26 9:31 AM
EPIC-03: AUTENTICACIOIN Y MANEJO DE USUARIOS,TAREA-27,10058,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,30/Aug/26 9:31 AM,11/Sep/26 1:55 PM,,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,dark_purple,0|i0005b:,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,To Do,30/Aug/26 9:31 AM
EPIC-02: ESQUELETO DE APLICACION,TAREA-26,10057,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,30/Aug/26 9:30 AM,11/Sep/26 1:55 PM,,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,dark_purple,0|i00053:,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,To Do,30/Aug/26 9:30 AM
EPIC-01: SETUP REPOSITORIO,TAREA-25,10056,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,30/Aug/26 9:30 AM,11/Sep/26 1:55 PM,,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,dark_purple,0|i0004v:,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,To Do,30/Aug/26 9:30 AM
Interfaz Gráfica,TAREA-22,10021,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,17/Aug/26 3:08 PM,17/Aug/26 3:08 PM,17/Aug/26 3:08 PM,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,yellow,0|i0004n:,,,,,,,,,,,,To Do,17/Aug/26 3:08 PM
Generacion de facturas y reportes,TAREA-16,10015,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,17/Aug/26 2:57 PM,17/Aug/26 2:57 PM,17/Aug/26 2:57 PM,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,dark_orange,0|i0003b:,,,,,,,,,,,,To Do,17/Aug/26 2:57 PM
Administracion de cuentas y configuracion,TAREA-14,10013,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,17/Aug/26 2:55 PM,17/Aug/26 3:00 PM,17/Aug/26 2:59 PM,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,teal,0|i0002v:,,,,,,,,,,,,To Do,17/Aug/26 2:55 PM
Actualización y tasas,TAREA-6,10005,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,17/Aug/26 2:47 PM,17/Aug/26 2:47 PM,17/Aug/26 2:55 PM,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,orange,0|i00013:,,,,,,,,,,,,To Do,17/Aug/26 2:47 PM
Manejo de Usuarios SSO,TAREA-1,10000,Epic,To Do,TAREA,IS2 Equipo 10,software,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,Medium,,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,17/Aug/26 2:34 PM,17/Aug/26 2:34 PM,17/Aug/26 3:03 PM,,,0,,,Mateo Nicolas Penayo Farina,712020:8bf59599-6147-47ae-89d6-37c942bc3544,,,,,,,,,,,dark_purple,0|hzzzzz:,,,,,,,,,,,,To Do,17/Aug/26 2:34 PM
